SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-24-2022,Condo/Co-op,1327 ADDISON,Berkeley,CA,94702-1716,961327,2,1.5,Berkeley,1128,6981,1993,,852,154,Sold,,,https://www.redfin.com/CA/Berkeley/1327-Addison-St-94702/home/179442972,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40992560,N,Y,37.869268,-122.285283
PAST SALE,July-29-2022,Multi-Family (2-4 Unit),8610 Beverly Ln,Dublin,CA,94568,1530000,6,3.0,Dublin,2562,6062,1968,,597,,Sold,,,https://www.redfin.com/CA/Dublin/8610-Beverly-Ln-94568/home/1167373,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40982513,N,Y,37.725135,-121.929578
PAST SALE,July-15-2022,Single Family Residential,1645 Stuart St,Berkeley,CA,94703,1350000,3,2.0,Central Berkeley,998,4000,1906,,1353,,Sold,,,https://www.redfin.com/CA/Berkeley/1645-Stuart-St-94703/home/1033179,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40994167,N,Y,37.8576282,-122.2756015
PAST SALE,July-25-2022,Single Family Residential,1595 Dwight Way,Berkeley,CA,94703,1151220,2,1.0,Central,1266,6640,1925,,909,,Sold,,,https://www.redfin.com/CA/Berkeley/1595-Dwight-Way-94703/home/2014410,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41002956,N,Y,37.8625964,-122.2791901
PAST SALE,,Single Family Residential,2832 Stanton St,Berkeley,CA,94702,1512000,2,2.0,,1502,3648,1919,,1007,,,,,https://www.redfin.com/CA/Berkeley/2832-Stanton-St-94702/home/620651,,,N,Y,37.8555885,-122.2805635
PAST SALE,June-10-2022,Single Family Residential,2763 Dohr St,Berkeley,CA,94702-2312,1135000,2,1.0,Berkeley,900,4000,1924,,1261,,Sold,,,https://www.redfin.com/CA/Berkeley/2763-Dohr-St-94702/home/1745888,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40993369,N,Y,37.8564544,-122.2811395
PAST SALE,June-16-2022,Single Family Residential,1308 Carleton,Berkeley,CA,94702,1300000,2,1.0,Berkeley,1162,5320,1923,,1119,,Sold,,,https://www.redfin.com/CA/Berkeley/1308-Carleton-St-94702/home/1995793,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40992717,N,Y,37.8588748,-122.2844178
PAST SALE,June-29-2022,Single Family Residential,2411 Sacramento St,Berkeley,CA,94702,1100000,2,1.0,Central Berkeley,1139,3081,1916,,966,,Sold,,,https://www.redfin.com/CA/Berkeley/2411-Sacramento-St-94702/home/1938167,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40993923,N,Y,37.8635797,-122.2809623
PAST SALE,July-5-2022,Single Family Residential,2412 Sacramento,Berkeley,CA,94702,1300000,3,1.0,Central Berkeley,1196,3535,1926,,1087,,Sold,,,https://www.redfin.com/CA/Berkeley/2412-Sacramento-St-94702/home/1479093,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40995618,N,Y,37.8634135,-122.2816268
PAST SALE,,Single Family Residential,2413 Browning St,Berkeley,CA,94702,2500000,5,3.0,,3367,6000,1947,,743,,,,,https://www.redfin.com/CA/Berkeley/2413-Browning-St-94702/home/1745256,,,N,Y,37.8627553,-122.2868765
